Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-06-29 00:00:00-04:00,25.280000686645508,46.0,25.09000015258789,38.29999923706055,7265800.0,0.0,0.0
2021-07-01 00:00:00-04:00,30.90999984741211,31.364999771118164,27.200000762939453,28.809999465942383,801700.0,0.0,0.0
2021-07-03 00:00:00-04:00,,,,,,,
2021-07-05 00:00:00-04:00,27.399999618530273,28.5,25.889999389648438,26.520000457763672,595000.0,0.0,0.0
2021-07-07 00:00:00-04:00,25.0,27.5,24.510000228881836,25.479999542236328,385800.0,0.0,0.0
2021-07-09 00:00:00-04:00,26.850000381469727,26.915000915527344,25.190000534057617,25.190000534057617,287300.0,0.0,0.0
2021-07-11 00:00:00-04:00,25.520000457763672,25.709999084472656,23.09000015258789,23.5,266700.0,0.0,0.0
2021-07-13 00:00:00-04:00,23.40999984741211,23.90999984741211,22.530000686645508,23.270000457763672,300700.0,0.0,0.0
2021-07-15 00:00:00-04:00,23.790000915527344,24.1200008392334,23.149999618530273,23.530000686645508,142000.0,0.0,0.0
2021-07-17 00:00:00-04:00,,,,,,,
2021-07-19 00:00:00-04:00,23.799999237060547,23.899999618530273,23.1200008392334,23.5,55800.0,0.0,0.0
2021-07-21 00:00:00-04:00,23.459999084472656,23.770000457763672,23.299999237060547,23.420000076293945,38900.0,0.0,0.0
2021-07-23 00:00:00-04:00,22.010000228881836,22.200000762939453,21.049999237060547,21.540000915527344,202600.0,0.0,0.0
2021-07-25 00:00:00-04:00,20.0,20.309999465942383,18.8700008392334,19.920000076293945,285500.0,0.0,0.0
2021-07-27 00:00:00-04:00,22.979999542236328,26.219999313354492,22.979999542236328,26.219999313354492,181300.0,0.0,0.0
2021-07-29 00:00:00-04:00,24.290000915527344,24.884000778198242,23.719999313354492,24.829999923706055,54900.0,0.0,0.0
2021-07-31 00:00:00-04:00,,,,,,,
2021-08-02 00:00:00-04:00,24.540000915527344,24.540000915527344,22.530000686645508,23.149999618530273,280800.0,0.0,0.0
2021-08-04 00:00:00-04:00,22.190000534057617,22.790000915527344,22.0,22.100000381469727,74900.0,0.0,0.0
2021-08-06 00:00:00-04:00,22.100000381469727,22.600000381469727,20.549999237060547,20.770000457763672,94900.0,0.0,0.0
2021-08-08 00:00:00-04:00,20.959999084472656,21.889999389648438,20.81999969482422,21.420000076293945,61900.0,0.0,0.0
2021-08-10 00:00:00-04:00,21.110000610351562,21.549999237060547,20.56999969482422,20.670000076293945,40600.0,0.0,0.0
2021-08-12 00:00:00-04:00,21.049999237060547,21.700000762939453,18.309999465942383,18.3799991607666,344700.0,0.0,0.0
2021-08-14 00:00:00-04:00,,,,,,,
2021-08-16 00:00:00-04:00,17.809999465942383,19.7189998626709,17.809999465942383,19.520000457763672,53900.0,0.0,0.0
2021-08-18 00:00:00-04:00,19.200000762939453,19.799999237060547,18.90999984741211,19.549999237060547,39600.0,0.0,0.0
2021-08-20 00:00:00-04:00,19.700000762939453,19.84000015258789,19.229999542236328,19.760000228881836,35900.0,0.0,0.0
2021-08-22 00:00:00-04:00,19.899999618530273,20.34000015258789,19.889999389648438,20.079999923706055,14400.0,0.0,0.0
2021-08-24 00:00:00-04:00,21.459999084472656,21.459999084472656,20.927000045776367,21.25,16800.0,0.0,0.0
2021-08-26 00:00:00-04:00,22.940000534057617,23.190000534057617,21.360000610351562,21.360000610351562,39000.0,0.0,0.0
2021-08-28 00:00:00-04:00,,,,,,,
2021-08-30 00:00:00-04:00,21.299999237060547,21.489999771118164,20.020000457763672,20.170000076293945,38700.0,0.0,0.0
2021-09-01 00:00:00-04:00,21.5,21.700000762939453,21.31999969482422,21.34000015258789,29900.0,0.0,0.0
2021-09-03 00:00:00-04:00,21.229999542236328,21.600000381469727,20.871000289916992,21.100000381469727,26900.0,0.0,0.0
