Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-09 00:00:00-05:00,108.86000061035156,112.83999633789062,108.01000213623047,112.69999694824219,11166400.0,0.0,0.0
2015-11-11 00:00:00-05:00,112.5199966430664,115.25,108.19999694824219,108.91999816894531,17568200.0,0.0,0.0
2015-11-13 00:00:00-05:00,108.33999633789062,109.06999969482422,103.2699966430664,103.6500015258789,18819400.0,0.0,0.0
2015-11-15 00:00:00-05:00,102.97000122070312,111.6500015258789,101.86000061035156,111.3499984741211,19866200.0,0.0,0.0
2015-11-17 00:00:00-05:00,117.94000244140625,121.0,116.0999984741211,120.62999725341797,23353600.0,0.0,0.0
2015-11-19 00:00:00-05:00,120.8499984741211,124.06999969482422,119.20999908447266,123.83999633789062,17977000.0,0.0,0.0
2015-11-21 00:00:00-05:00,,,,,,,
2015-11-23 00:00:00-05:00,123.66999816894531,124.66000366210938,120.02999877929688,123.30999755859375,18335300.0,0.0,0.0
2015-11-25 00:00:00-05:00,124.2300033569336,125.19999694824219,122.36000061035156,124.16000366210938,10980700.0,0.0,0.0
2015-11-27 00:00:00-05:00,123.8499984741211,126.38999938964844,123.58999633789062,125.44000244140625,6645500.0,0.0,0.0
2015-11-29 00:00:00-05:00,126.02999877929688,126.5999984741211,122.88999938964844,123.33000183105469,13894000.0,0.0,0.0
2015-12-01 00:00:00-05:00,125.52999877929688,131.35000610351562,124.93000030517578,128.92999267578125,24105700.0,0.0,0.0
2015-12-03 00:00:00-05:00,127.0,130.99000549316406,125.75,130.92999267578125,20250400.0,0.0,0.0
2015-12-05 00:00:00-05:00,,,,,,,
2015-12-07 00:00:00-05:00,121.51000213623047,128.24000549316406,121.0999984741211,126.9800033569336,18591100.0,0.0,0.0
2015-12-09 00:00:00-05:00,124.5,125.20999908447266,121.62000274658203,122.91000366210938,13474100.0,0.0,0.0
2015-12-11 00:00:00-05:00,121.44999694824219,123.0,118.5999984741211,118.91000366210938,16105300.0,0.0,0.0
