Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-11-09 00:00:00-05:00,160.09235541404732,160.92538556147426,159.79785914408336,160.8159942626953,1257500.0,0.0,0.0,0.0
2015-11-11 00:00:00-05:00,159.33503759558405,159.7136829295245,158.0055611996148,158.05604553222656,2454900.0,0.0,0.0,0.0
2015-11-13 00:00:00-05:00,157.64380485038927,157.87098442869964,156.15445230690435,156.2301788330078,3224000.0,0.0,0.0,0.0
2015-11-15 00:00:00-05:00,156.08714312690395,158.6535380750291,155.96934202302398,158.6282958984375,1687100.0,0.0,0.0,0.0
2015-11-17 00:00:00-05:00,158.9564705283537,161.14420733462143,158.93963812941115,160.98434448242188,2858600.0,0.0,0.0,0.0
2015-11-19 00:00:00-05:00,161.56495165419904,162.11189556728164,161.13582171201824,161.4976348876953,1317600.0,0.0,0.0,0.0
2015-11-21 00:00:00-05:00,,,,,,,,
2015-11-23 00:00:00-05:00,160.4037022026276,161.87622211903405,160.0250439526393,161.57330322265625,1572000.0,0.0,0.0,0.0
2015-11-25 00:00:00-05:00,161.68270523637833,161.81733872979135,161.27881759549592,161.52284240722656,758700.0,0.0,0.0,0.0
2015-11-27 00:00:00-05:00,161.62378410372588,161.8762186518597,161.13574740116172,161.68267822265625,894500.0,0.0,0.0,0.0
2015-11-29 00:00:00-05:00,161.93515460954023,161.95198700759263,160.91701921613208,161.02639770507812,1551000.0,0.0,0.0,0.0
2015-12-01 00:00:00-05:00,162.549365517856,162.776557902366,160.64771582799102,160.86648559570312,1999600.0,0.0,0.0,0.0
2015-12-03 00:00:00-05:00,159.0237380196192,161.99401996454876,158.8975143256916,161.69110107421875,2900700.0,0.0,0.0,0.0
2015-12-05 00:00:00-05:00,,,,,,,,
2015-12-07 00:00:00-05:00,159.24255091524185,160.47946898252474,158.75451407977206,159.6464385986328,1721700.0,0.0,0.0,0.0
2015-12-09 00:00:00-05:00,158.6114652729972,160.02507853535036,158.27489435511052,158.81341552734375,4083800.0,0.0,0.0,0.0
2015-12-11 00:00:00-05:00,156.87810545061936,157.47552077404916,155.456069526231,155.64959716796875,3084400.0,0.0,0.0,0.0
2015-12-13 00:00:00-05:00,155.93565761209396,156.58355712890625,154.24435509632664,156.58355712890625,2722600.0,0.0,0.0,0.0
2015-12-15 00:00:00-05:00,159.267761588762,160.78235615107855,157.938284852915,160.43736267089844,6361700.0,0.0,0.0,0.0
2015-12-17 00:00:00-05:00,157.3072195603856,157.4166108788041,155.1615447998047,155.1615447998047,4531400.0,0.0,0.0,0.0
2015-12-19 00:00:00-05:00,,,,,,,,
2015-12-21 00:00:00-05:00,157.31321963703246,158.19352465112715,156.42444183086587,157.94805908203125,2423300.0,0.0,0.0,0.0
2015-12-23 00:00:00-05:00,159.71718756253415,160.1234813070497,159.42092390383502,159.5648193359375,1170800.0,0.0,0.0,0.0
2015-12-25 00:00:00-05:00,,,,,,,,
2015-12-27 00:00:00-05:00,159.006099287995,159.2854172329966,158.2866095328734,159.21771240234375,2668300.0,0.0,0.0,0.0
2015-12-29 00:00:00-05:00,160.80058961841627,160.8175222856055,159.7001987362499,159.81024169921875,2535800.0,0.0,0.0,0.0
2015-12-31 00:00:00-05:00,159.23468254299377,159.77641177052695,158.22740173339844,158.22740173339844,2395200.0,0.0,0.0,0.0
2016-01-02 00:00:00-05:00,,,,,,,,
2016-01-04 00:00:00-05:00,156.22978700739685,156.6953256775083,155.26481849332058,156.28903198242188,2882500.0,0.0,0.0,0.0
2016-01-06 00:00:00-05:00,151.64202839630573,153.20797139178669,150.24538630962508,150.55010986328125,4952500.0,0.0,0.0,0.0
2016-01-08 00:00:00-05:00,151.48961399920577,151.96362536096046,148.67938533188732,148.95025634765625,7357300.0,0.0,0.0,0.0
2016-01-10 00:00:00-05:00,149.85598917591196,150.09300782848663,147.33356359736706,148.96722412109375,4493300.0,0.0,0.0,0.0
2016-01-12 00:00:00-05:00,151.03252460510677,151.21028532629347,146.19928770361196,146.52940368652344,4125700.0,0.0,0.0,0.0
2016-01-14 00:00:00-05:00,144.91265438559185,146.48705643237665,143.98156445597363,145.71678161621094,8087300.0,0.0,0.0,0.0
2016-01-16 00:00:00-05:00,,,,,,,,
2016-01-18 00:00:00-05:00,147.45204214242045,147.52821977755127,144.50639067478585,145.8776397705078,5863300.0,0.0,0.0,0.0
2016-01-20 00:00:00-05:00,144.56565309376165,146.5548221345959,143.32983936630822,144.87037658691406,3004600.0,0.0,0.0,0.0
2016-01-22 00:00:00-05:00,147.3081613336637,148.01071861972846,146.58867137727938,147.8414306640625,2611700.0,0.0,0.0,0.0
2016-01-24 00:00:00-05:00,147.3674066763423,147.56208716299273,145.44595560770833,145.64910888671875,2756400.0,0.0,0.0,0.0
2016-01-26 00:00:00-05:00,147.1895523199554,148.6539108083428,145.1665323565183,145.9452667236328,3543000.0,0.0,0.0,0.0
2016-01-28 00:00:00-05:00,147.5705184563392,150.45692443847656,147.350445466919,150.45692443847656,4453100.0,0.0,0.0,0.0
2016-01-30 00:00:00-05:00,,,,,,,,
2016-02-01 00:00:00-05:00,148.85715099873335,149.05183147538818,147.11346075324064,147.59593200683594,5101200.0,0.0,0.0,0.0
2016-02-03 00:00:00-05:00,148.08686132513432,149.56815319046459,147.47741449584552,148.64552307128906,3562200.0,0.0,0.0,0.0
2016-02-05 00:00:00-05:00,148.16306118578888,148.29003682852027,145.29358731551045,145.8522491455078,2371900.0,0.0,0.0,0.0
2016-02-07 00:00:00-05:00,144.14241155735982,144.42174247298587,141.88238460275866,143.84616088867188,3402000.0,0.0,0.0,0.0
2016-02-09 00:00:00-05:00,144.68409852501728,146.13999764595968,143.65989838225462,143.7953338623047,1953600.0,0.0,0.0,0.0
2016-02-11 00:00:00-05:00,143.50757853437347,144.86190795898438,142.7965613985819,144.86190795898438,1800300.0,0.0,0.0,0.0
2016-02-13 00:00:00-05:00,,,,,,,,
2016-02-15 00:00:00-05:00,146.60558944181884,147.2912139892578,145.63217410683492,147.2912139892578,2361000.0,0.0,0.0,0.0
2016-02-17 00:00:00-05:00,149.9914016179156,150.00833428674426,148.80637311674948,149.0687713623047,1646000.0,0.0,0.0,0.0
2016-02-19 00:00:00-05:00,148.36623771828332,149.14497270222176,147.83296835008386,149.03494262695312,1136900.0,0.0,0.0,0.0
2016-02-21 00:00:00-05:00,150.48237458055718,151.30343481252768,150.42312960204453,151.16799926757812,2603100.0,0.0,0.0,0.0
2016-02-23 00:00:00-05:00,147.9514357068458,150.20300259231564,146.94416802045862,149.97445678710938,2599800.0,0.0,0.0,0.0
2016-02-25 00:00:00-05:00,152.5307812870512,152.66621682536226,151.29496751853353,151.49810791015625,2560800.0,0.0,0.0,0.0
2016-02-27 00:00:00-05:00,,,,,,,,
2016-02-29 00:00:00-05:00,151.37953299942953,153.84271240234375,150.9478469568329,153.84271240234375,3041400.0,0.0,0.0,0.0
2016-03-02 00:00:00-05:00,154.2829258898196,155.09551318913893,153.80044168672694,155.06166076660156,3150400.0,0.0,0.0,0.0
2016-03-04 00:00:00-05:00,155.28173475177914,156.30594813262542,154.51993253953088,155.56106567382812,2821000.0,0.0,0.0,0.0
2016-03-06 00:00:00-05:00,154.77389434877827,156.07742593318966,154.68924390533778,155.73037719726562,3449900.0,0.0,0.0,0.0
2016-03-08 00:00:00-05:00,154.77386090734012,155.08704423188186,154.06283091726482,154.82464599609375,1641600.0,0.0,0.0,0.0
2016-03-10 00:00:00-05:00,156.22975996107434,157.44864083532238,156.13664966000246,157.42324829101562,2231000.0,0.0,0.0,0.0
2016-03-12 00:00:00-05:00,,,,,,,,
2016-03-14 00:00:00-04:00,156.33979626344623,156.9831085205078,156.10279056321573,156.9831085205078,1325300.0,0.0,0.0,0.0
2016-03-16 00:00:00-04:00,157.79566444361834,159.33621410480373,157.4401559639231,158.92144775390625,1937300.0,0.0,0.0,0.0
2016-03-18 00:00:00-04:00,159.42940054986826,159.801828957095,159.0569592267959,159.5140380859375,2623400.0,0.0,0.0,0.0
2016-03-20 00:00:00-04:00,159.28933512110797,159.93610002648782,159.0595756801388,159.75738525390625,1535400.0,1.006,0.0,0.0
2016-03-22 00:00:00-04:00,159.2893085449132,159.44249446516255,158.4383131673206,158.65106201171875,1633300.0,0.0,0.0,0.0
2016-03-24 00:00:00-04:00,157.64688807936403,158.55745933380513,157.44264452136528,158.54043579101562,1874800.0,0.0,0.0,0.0
2016-03-26 00:00:00-04:00,,,,,,,,
2016-03-28 00:00:00-04:00,158.27666107205647,160.17437744140625,157.97030216616116,160.17437744140625,1604900.0,0.0,0.0,0.0
2016-03-30 00:00:00-04:00,160.71046472752084,161.08489174529814,160.25943826539233,160.4636688232422,3007800.0,0.0,0.0,0.0
