Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-08 09:30:00-05:00,0.8610000014305115,0.8898000121116638,0.8500999808311462,0.8601999878883362,176370,0.0,0.0
2024-11-08 10:30:00-05:00,0.8603000044822693,0.8748999834060669,0.8500000238418579,0.8546000123023987,65325,0.0,0.0
2024-11-08 11:30:00-05:00,0.8574000000953674,0.8574000000953674,0.8100000023841858,0.8227999806404114,112818,0.0,0.0
2024-11-08 12:30:00-05:00,0.8199999928474426,0.8337000012397766,0.8019999861717224,0.8337000012397766,118827,0.0,0.0
2024-11-08 13:30:00-05:00,0.8300999999046326,0.8446000218391418,0.8159999847412109,0.8185999989509583,60138,0.0,0.0
2024-11-08 14:30:00-05:00,0.8159999847412109,0.8294000029563904,0.8159999847412109,0.8294000029563904,48053,0.0,0.0
2024-11-08 15:30:00-05:00,0.8219000101089478,0.8292999863624573,0.8159999847412109,0.8292999863624573,59539,0.0,0.0
2024-11-11 09:30:00-05:00,0.8209999799728394,0.8396999835968018,0.8097000122070312,0.8101999759674072,169491,0.0,0.0
2024-11-11 10:30:00-05:00,0.8192999958992004,0.8277999758720398,0.800000011920929,0.8019999861717224,253760,0.0,0.0
2024-11-11 11:30:00-05:00,0.805400013923645,0.805400013923645,0.7864000201225281,0.7865999937057495,601280,0.0,0.0
2024-11-11 12:30:00-05:00,0.7864000201225281,0.789900004863739,0.7699999809265137,0.7730000019073486,178848,0.0,0.0
2024-11-11 13:30:00-05:00,0.7717999815940857,0.781000018119812,0.7609999775886536,0.7764999866485596,190309,0.0,0.0
2024-11-11 14:30:00-05:00,0.7753000259399414,0.7807000279426575,0.7551000118255615,0.76419997215271,238985,0.0,0.0
2024-11-11 15:30:00-05:00,0.7599999904632568,0.7789000272750854,0.7599999904632568,0.7662000060081482,135027,0.0,0.0
2024-11-12 09:30:00-05:00,0.7599999904632568,0.7997000217437744,0.7504000067710876,0.7919999957084656,138538,0.0,0.0
2024-11-12 10:30:00-05:00,0.7918999791145325,0.7949000000953674,0.7749999761581421,0.7749999761581421,98855,0.0,0.0
2024-11-12 11:30:00-05:00,0.7749999761581421,0.8080000281333923,0.7710000276565552,0.7950000166893005,233692,0.0,0.0
2024-11-12 12:30:00-05:00,0.7997999787330627,0.8288000226020813,0.7997999787330627,0.8151000142097473,186432,0.0,0.0
2024-11-12 13:30:00-05:00,0.8176000118255615,0.8199999928474426,0.8019999861717224,0.8047000169754028,52140,0.0,0.0
2024-11-12 14:30:00-05:00,0.8100000023841858,0.8199999928474426,0.8022000193595886,0.8026999831199646,70739,0.0,0.0
2024-11-12 15:30:00-05:00,0.8026000261306763,0.8100000023841858,0.8019999861717224,0.8100000023841858,41505,0.0,0.0
2024-11-13 09:30:00-05:00,0.8090999722480774,0.8197000026702881,0.7900000214576721,0.7921000123023987,82145,0.0,0.0
2024-11-13 10:30:00-05:00,0.79339998960495,0.7950000166893005,0.7853999733924866,0.7930999994277954,45864,0.0,0.0
2024-11-13 11:30:00-05:00,0.7930999994277954,0.7930999994277954,0.7749999761581421,0.7799999713897705,62321,0.0,0.0
2024-11-13 12:30:00-05:00,0.7810999751091003,0.7950000166893005,0.7700999975204468,0.7950000166893005,67882,0.0,0.0
2024-11-13 13:30:00-05:00,0.7937999963760376,0.7950000166893005,0.7803999781608582,0.794700026512146,43502,0.0,0.0
2024-11-13 14:30:00-05:00,0.794700026512146,0.7950000166893005,0.7804999947547913,0.7806000113487244,68688,0.0,0.0
2024-11-13 15:30:00-05:00,0.7806000113487244,0.800000011920929,0.7806000113487244,0.7998999953269958,143193,0.0,0.0
2024-11-14 09:30:00-05:00,0.800000011920929,0.8109999895095825,0.7850000262260437,0.79339998960495,87900,0.0,0.0
2024-11-14 10:30:00-05:00,0.800000011920929,0.8069999814033508,0.7932999730110168,0.8016999959945679,14356,0.0,0.0
2024-11-14 11:30:00-05:00,0.8080000281333923,0.808899998664856,0.7900999784469604,0.7946000099182129,17674,0.0,0.0
2024-11-14 12:30:00-05:00,0.7946000099182129,0.7978000044822693,0.7854999899864197,0.7900000214576721,47286,0.0,0.0
2024-11-14 13:30:00-05:00,0.7936000227928162,0.7975999712944031,0.7894999980926514,0.7937999963760376,73244,0.0,0.0
2024-11-14 14:30:00-05:00,0.791700005531311,0.7991999983787537,0.7900000214576721,0.798799991607666,25157,0.0,0.0
2024-11-14 15:30:00-05:00,0.791100025177002,0.800000011920929,0.791100025177002,0.800000011920929,39464,0.0,0.0
2024-11-15 09:30:00-05:00,0.8050000071525574,0.8300999999046326,0.800599992275238,0.8201000094413757,251449,0.0,0.0
2024-11-15 10:30:00-05:00,0.8278999924659729,0.8278999924659729,0.8001999855041504,0.8001999855041504,45525,0.0,0.0
2024-11-15 11:30:00-05:00,0.808899998664856,0.8119000196456909,0.800000011920929,0.800000011920929,94227,0.0,0.0
2024-11-15 12:30:00-05:00,0.7900000214576721,0.802299976348877,0.7874000072479248,0.7900000214576721,24966,0.0,0.0
2024-11-15 13:30:00-05:00,0.791100025177002,0.7936999797821045,0.7821000218391418,0.786300003528595,30298,0.0,0.0
2024-11-15 14:30:00-05:00,0.7888000011444092,0.7998999953269958,0.7835999727249146,0.7998999953269958,49697,0.0,0.0
2024-11-15 15:30:00-05:00,0.7950000166893005,0.7998999953269958,0.7800999879837036,0.7800999879837036,32048,0.0,0.0
2024-11-18 09:30:00-05:00,0.7721999883651733,0.7979999780654907,0.7721999883651733,0.782800018787384,103805,0.0,0.0
2024-11-18 10:30:00-05:00,0.7849000096321106,0.7886999845504761,0.7810999751091003,0.786300003528595,20956,0.0,0.0
2024-11-18 11:30:00-05:00,0.7871000170707703,0.7942000031471252,0.78329998254776,0.7835000157356262,45058,0.0,0.0
2024-11-18 12:30:00-05:00,0.7850000262260437,0.7875999808311462,0.7811999917030334,0.7811999917030334,12093,0.0,0.0
2024-11-18 13:30:00-05:00,0.7839000225067139,0.7872999906539917,0.7720000147819519,0.7789999842643738,86007,0.0,0.0
2024-11-18 14:30:00-05:00,0.7799999713897705,0.7853000164031982,0.7730000019073486,0.7771000266075134,30387,0.0,0.0
2024-11-18 15:30:00-05:00,0.7777000069618225,0.7797999978065491,0.7730000019073486,0.7730000019073486,42905,0.0,0.0
2024-11-19 09:30:00-05:00,0.7796000242233276,0.7889000177383423,0.7649000287055969,0.7746000289916992,93452,0.0,0.0
2024-11-19 10:30:00-05:00,0.7748000025749207,0.7836999893188477,0.7720000147819519,0.7789000272750854,24216,0.0,0.0
2024-11-19 11:30:00-05:00,0.7835000157356262,0.7835999727249146,0.7700999975204468,0.7796000242233276,43218,0.0,0.0
2024-11-19 12:30:00-05:00,0.7770000100135803,0.7799000144004822,0.7699999809265137,0.7764000296592712,0,0.0,0.0
2024-11-19 13:30:00-05:00,0.7720000147819519,0.7799000144004822,0.7720000147819519,0.7781000137329102,205156,0.0,0.0
2024-11-19 14:30:00-05:00,0.7799000144004822,0.7835999727249146,0.7760000228881836,0.7785000205039978,30103,0.0,0.0
2024-11-19 15:30:00-05:00,0.7799000144004822,0.7799000144004822,0.7770000100135803,0.7770000100135803,5936,0.0,0.0
2024-11-20 09:30:00-05:00,0.7599999904632568,0.7789999842643738,0.7599999904632568,0.7757999897003174,90107,0.0,0.0
