Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-11-08 00:00:00-05:00,2.375,2.380000114440918,2.369999885559082,2.375,41834.0,0.0,0.0
2024-11-10 00:00:00-05:00,2.440000057220459,2.450000047683716,2.440000057220459,2.450000047683716,56750.0,0.0,0.0
2024-11-12 00:00:00-05:00,2.3399999141693115,2.3499999046325684,2.3399999141693115,2.3399999141693115,49624.0,0.0,0.0
2024-11-14 00:00:00-05:00,2.319999933242798,2.3299999237060547,2.309999942779541,2.315000057220459,44852.0,0.0,0.0
2024-11-16 00:00:00-05:00,,,,,,,
2024-11-18 00:00:00-05:00,2.4649999141693115,2.4649999141693115,2.440000057220459,2.450000047683716,36624.0,0.0,0.0
2024-11-20 00:00:00-05:00,2.4600000381469727,2.4600000381469727,2.4200000762939453,2.430000066757202,57300.0,0.0,0.0
2024-11-22 00:00:00-05:00,2.3450000286102295,2.359999895095825,2.3299999237060547,2.3350000381469727,84613.0,0.0,0.0
2024-11-24 00:00:00-05:00,2.2799999713897705,2.2950000762939453,2.2799999713897705,2.2950000762939453,56317.0,0.0,0.0
2024-11-26 00:00:00-05:00,3.049999952316284,3.075000047683716,3.0199999809265137,3.0399999618530273,196025.0,0.0,0.0
2024-11-28 00:00:00-05:00,3.0850000381469727,3.1500000953674316,3.062000036239624,3.0950000286102295,68998.0,0.0,0.0
2024-11-30 00:00:00-05:00,,,,,,,
2024-12-02 00:00:00-05:00,3.015000104904175,3.059999942779541,3.005000114440918,3.0399999618530273,308367.0,0.0,0.0
2024-12-04 00:00:00-05:00,3.009999990463257,3.0350000858306885,3.005000114440918,3.0299999713897705,93689.0,0.0,0.0
2024-12-06 00:00:00-05:00,2.940000057220459,2.9649999141693115,2.9100000858306885,2.9200000762939453,82536.0,0.0,0.0
2024-12-08 00:00:00-05:00,3.015000104904175,3.0250000953674316,2.9800000190734863,2.984999895095825,73454.0,0.0,0.0
2024-12-10 00:00:00-05:00,3.009999990463257,3.009999990463257,2.950000047683716,2.9549999237060547,96002.0,0.0,0.0
2024-12-12 00:00:00-05:00,2.859999895095825,2.859999895095825,2.7799999713897705,2.7950000762939453,122309.0,0.0,0.0
2024-12-14 00:00:00-05:00,,,,,,,
